ville,annee,mois,type_temp,valeur_celsius,unite
Kouma konda,2018,7,temp_min,21,°C
Kouma konda,2018,8,temp_max,25,°C
Kouma konda,2018,8,temp_min,20,°C
Kouma konda,2018,9,temp_max,26,°C
Kouma konda,2018,9,temp_min,20,°C
Kouma konda,2018,10,temp_max,27,°C
Kouma konda,2018,10,temp_min,20,°C
Kouma konda,2018,11,temp_max,29,°C
Kouma konda,2018,11,temp_min,21,°C
Kouma konda,2018,12,temp_max,30,°C
Kouma konda,2018,12,temp_min,21,°C
Kouma konda,2019,1,temp_max,31,°C
Kouma konda,2019,1,temp_min,21,°C
Kouma konda,2019,2,temp_max,31,°C
Kouma konda,2019,2,temp_min,22,°C
Kouma konda,2019,3,temp_max,31,°C
Kouma konda,2019,3,temp_min,22,°C
Kouma konda,2019,4,temp_max,30,°C
Kouma konda,2019,4,temp_min,22,°C
Kouma konda,2019,5,temp_max,29,°C
Kouma konda,2019,5,temp_min,21,°C
Kouma konda,2019,6,temp_max,27,°C
Kouma konda,2019,6,temp_min,22,°C
Kouma konda,2019,7,temp_max,26,°C
Kouma konda,2019,7,temp_min,20,°C
